postcode,lats,longs
9711HN,53.2146182589842,6.56214974915409
9711HP,53.2142535293799,6.56185436937852
9711HR,53.2148899339618,6.56067840428125
9711HS,53.2151353517151,6.5603477472694
9711HT,53.2152848064812,6.5611928158967
9711HV,53.2163039053341,6.55968133981047
9711HW,53.2158314694038,6.56104837355772
9711HX,53.2164620284584,6.5607900582841
9711HZ,53.2164744571333,6.56017735637096
9711JA,53.2153297340052,6.56204377232134
9711JB,53.2163501446619,6.56332059892687
9711JC,53.21611137579,6.56174523107904
9711JD,53.2156157607674,6.56304637869087
9711JE,53.2151036412251,6.56343368857976
9711JG,53.2158023631717,6.56321695749693
9711JH,53.2152155770491,6.56401117238803
9711JJ,53.2155797930169,6.56417061201657
9711JK,53.2149670605111,6.56292775051246
9711JL,53.2148240874961,6.56314624656972
9711JM,53.2151779475403,6.56572557036644
9711JN,53.2149480763832,6.56452622772498
9711JP,53.2150569929951,6.56585046842714
9711JR,53.2148400017597,6.56461318978113
9711JS,53.2161778779258,6.56424658895923
9711JT,53.215671203584,6.56462885040532
9711JV,53.2151936883952,6.56491265445127
9711JW,53.2160872791586,6.5645594208874
9711JX,53.2156329549445,6.56499034418214
9711JZ,53.2152089694732,6.56518360980775
9711KA,53.2163547870881,6.56486860433245
9711KB,53.2161737303043,6.56540735223466
9711KC,53.2155435552448,6.56584914245025
9711KD,53.2164999129158,6.5655205813194
9711KE,53.2156414910305,6.56608875192596
9711KG,53.2149351759597,6.566301248535
9711KH,53.2166144652748,6.56630915941425
9711KJ,53.2154996741855,6.56701923831907
9711KK,53.2153262570803,6.56733078483852
9711KL,53.216793745772,6.56661273623384
9711KM,53.2158116715661,6.56736398561535
9711KN,53.2157045842658,6.56772402331394
9711KP,53.217042679556,6.56573225252307
9711KR,53.2153720373454,6.56783904710931
9711KS,53.217533182067,6.56645282695747
9711KT,53.2171604131938,6.56545473583382
9711KV,53.2168225169504,6.56455393120725
9711KW,53.2178447162565,6.56640204364668
9711LA,53.2176116430045,6.56680495823938
9711LB,53.2169739238967,6.56729817784807
9711LC,53.2158811850755,6.56801107543514
9711LD,53.2149945467026,6.56860872676745
9711LE,53.2146801331043,6.56868228485196
